date,aqi,Main Pollutant,ozone,PM10,PM25,date_aqi
2001-10-27,22,PM10,22,22,30,10/27/2001
2001-10-28,33,PM10,23,33,19,10/28/2001
2001-10-29,30,PM10,8,30,18,10/29/2001
2001-10-30,30,CO,6,23,18,10/30/2001
2001-10-31,28,Ozone,28,8,18,10/31/2001
2001-11-01,32,PM10,16,32,29,11/01/2001
2001-11-02,40,PM10,12,40,40,11/02/2001
2001-11-03,52,PM2.5,20,28,52,11/03/2001
2001-11-04,36,PM10,7,36,51,11/04/2001
2001-11-05,48,PM10,20,48,50,11/05/2001
2001-11-06,50,PM2.5,20,34,50,11/06/2001
2001-11-07,41,PM10,24,41,61,11/07/2001
2001-11-08,53,PM10,19,53,73,11/08/2001
2001-11-09,85,PM2.5,14,65,85,11/09/2001
2001-11-10,54,PM10,10,54,85,11/10/2001
2001-11-11,47,PM10,14,47,86,11/11/2001
2001-11-12,87,PM2.5,11,50,87,11/12/2001
2001-11-13,44,PM10,10,44,80,11/13/2001
2001-11-14,53,PM10,21,53,73,11/14/2001
2001-11-15,67,PM2.5,19,57,67,11/15/2001
2001-11-16,66,PM10,8,66,58,11/16/2001
2001-11-17,30,CO,19,24,49,11/17/2001
2001-11-18,40,PM2.5,21,15,40,11/18/2001
2001-11-19,44,PM10,9,44,49,11/19/2001
2001-11-20,49,PM10,19,49,59,11/20/2001
2001-11-21,69,PM2.5,19,26,69,11/21/2001
2001-11-22,13,PM10,13,13,52,11/22/2001
2001-11-23,15,Ozone,15,9,36,11/23/2001
2001-11-24,20,PM2.5,16,8,20,11/24/2001
2001-11-25,16,Ozone,16,6,35,11/25/2001
2001-11-26,26,CO,12,15,51,11/26/2001
2001-11-27,67,PM2.5,22,34,67,11/27/2001
2001-11-28,27,PM10,24,27,53,11/28/2001
2001-11-29,21,PM10,21,21,39,11/29/2001
2001-11-30,25,PM2.5,22,6,25,11/30/2001
2001-12-01,30,Ozone,30,9,25,12/01/2001
2001-12-02,30,Ozone,30,14,25,12/02/2001
2001-12-03,27,Ozone,27,10,26,12/03/2001
2001-12-04,25,Ozone,25,18,32,12/04/2001
2001-12-05,25,Ozone,25,13,39,12/05/2001
2001-12-06,46,PM2.5,25,10,46,12/06/2001
2001-12-07,26,Ozone,26,13,39,12/07/2001
2001-12-08,28,CO,25,11,32,12/08/2001
2001-12-09,30,Ozone,30,14,26,12/09/2001
2001-12-10,36,PM10,26,36,31,12/10/2001
2001-12-11,25,Ozone,25,10,37,12/11/2001
2001-12-12,43,PM2.5,20,15,43,12/12/2001
2001-12-13,22,CO,17,14,40,12/13/2001
2001-12-14,31,Ozone,31,8,38,12/14/2001
2001-12-15,36,PM2.5,29,20,36,12/15/2001
2001-12-16,30,Ozone,30,20,37,12/16/2001
2001-12-17,34,Ozone,34,16,38,12/17/2001
2001-12-18,52,PM10,21,52,40,12/18/2001
2001-12-19,30,CO,20,13,34,12/19/2001
2001-12-20,24,Ozone,24,4,28,12/20/2001
2001-12-21,24,CO,19,12,23,12/21/2001
2001-12-22,20,CO,6,6,22,12/22/2001
2001-12-23,20,Ozone,20,12,21,12/23/2001
2001-12-24,23,Ozone,23,7,21,12/24/2001
2001-12-25,27,Ozone,27,4,48,12/25/2001
2001-12-26,26,Ozone,26,6,76,12/26/2001
2001-12-27,104,PM2.5,24,6,104,12/27/2001
2001-12-28,23,Ozone,23,11,82,12/28/2001
2001-12-29,25,Ozone,25,9,61,12/29/2001
2001-12-30,40,PM2.5,27,9,40,12/30/2001
2001-12-31,16,CO,25,7,42,12/31/2001
2002-01-01,24,Ozone,24,8,44,01/01/2002
2002-01-02,47,PM2.5,16,11,47,01/02/2002
2002-01-03,26,CO,18,20,51,01/03/2002
2002-01-04,28,CO,20,17,55,01/04/2002
2002-01-05,60,PM2.5,20,12,60,01/05/2002
2002-01-06,23,CO,17,12,51,01/06/2002
2002-01-07,39,CO,22,27,42,01/07/2002
2002-01-08,33,PM2.5,26,7,33,01/08/2002
2002-01-09,28,PM10,26,28,39,01/09/2002
2002-01-10,44,PM10,15,44,45,01/10/2002
2002-01-11,52,PM2.5,11,41,52,01/11/2002
2002-01-12,27,CO,24,7,44,01/12/2002
2002-01-13,28,Ozone,28,12,36,01/13/2002
2002-01-14,31,Ozone,31,24,29,01/14/2002
2002-01-15,30,PM10,24,30,30,01/15/2002
2002-01-16,25,PM10,23,25,31,01/16/2002
2002-01-17,33,PM2.5,19,14,33,01/17/2002
2002-01-18,20,Ozone,20,8,33,01/18/2002
2002-01-19,24,Ozone,24,6,34,01/19/2002
2002-01-20,35,PM2.5,29,6,35,01/20/2002
2002-01-21,32,CO,30,11,34,01/21/2002
2002-01-22,31,Ozone,31,8,34,01/22/2002
2002-01-23,34,PM2.5,31,6,34,01/23/2002
2002-01-24,31,Ozone,31,5,30,01/24/2002
2002-01-25,30,Ozone,30,4,26,01/25/2002
2002-01-26,32,Ozone,32,7,22,01/26/2002
2002-01-27,31,Ozone,31,8,30,01/27/2002
2002-01-28,29,Ozone,29,7,39,01/28/2002
2002-01-29,48,PM2.5,27,13,48,01/29/2002
2002-01-30,20,Ozone,20,7,49,01/30/2002
2002-01-31,25,Ozone,25,9,51,01/31/2002
2002-02-01,53,PM2.5,28,6,53,02/01/2002
